Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Wifi & Connectivity,reviews
Boeing 787-9,Business,Economy Class,Denver to London,December 2022,1.0,1.0,1.0,3.0,1.0,1,no,,"✅ Trip Verified |  I was flying to Warsaw for one day of meetings and would be flying back out to Miami the next day. Initially my flight was delayed in Denver by 3 hours. As such I knew I would miss my connection in Warsaw. The Denver to Heathrow flight was terrible. The plane was dirty, I was in economy, I usually fly business or Premium Economy but on this flight there was no availability. The plane was only about 2/3 full and the service was not good. My food was inedible and the seats very cramped although the middle seat was open so that made it tolerable. When i arrived in Heathrow it was a complete circus. Passengers everywhere trying to rebook missed connections. Not only my flight but multiple other flights had missed connections. After waiting in line for an hour I was finally rebooked on another BA flight to Warsaw. This plane was the smallest 3x3 plane I have seen. Packed in like sardines. My bag never showed up so i had to cancel my meeting and now have no bag to fly back to Miami. BA has shown no desire to help other than to give me standard answers and that hopefully my bag will show up in Miami at some point and I can retrieve it from there. I mean the bag is sitting in Heathrow somewhere with 6 different fight options to get it to Warsaw yet BA in unwilling to do anything to expedite getting my bag to Warsaw before I leave for Miami the next day. "
A320,Solo Leisure,Business Class,London to Marrakech,June 2022,3.0,5.0,5.0,,4.0,3,yes,,"✅ Trip Verified |  Booked a BA holiday to Marrakech, after posting a negative review regarding my double tier points credit, I can now confirm that the points have been credited. It took a while but BA did eventually make good on their promise, thank you. Based on things now being resolved I have travelled on BA since and I am booked to travel to South Africa in First class on 2nd January, looking forward to the new BA Concorde lounge. Keep it up BA, loyalty is indeed a 2way street."
A380,Solo Leisure,Economy Class,San Francisco to London,November 2022,2.0,1.0,2.0,2.0,3.0,2,no,1.0,"✅ Trip Verified | Extremely sub-par service. Highlights: No online meal selection. Staff pretty much dropped off whatever meal they had and were very rude if a passenger wanted it changed. Last meal was delayed to the last 40 minutes of flight. Plates were literally grabbed away. I had to hand over my unfinished plate that the staff again dropped on me. No apology. No offer of a napkin. I had to scrounge for a piece of paper to clean my jacket. None of the passengers were told to straighten up their seats before meal. Because the seat before me was so tilted, I could barely keep the plate on the tray without things slipping off. Staff walked down with some water and biscuits. This got exhausted just before she got to me. She just looked at me and walked away. Nothing further was offered."
A320,Solo Leisure,Business Class,London to Lisbon,November 2022,3.0,4.0,4.0,,3.0,3,yes,,"✅ Trip Verified |  I virtually gave up on British Airways about three years ago, writing off my Avios and opting for other airlines. But my return flights from Heathrow to Lisbon this week were very good. The aircraft were pretty much full, but the service was excellent and the food surprisingly good. A particular shout-out to a flight attendant called Jo, but all the teams there and back were enthusiastic and attentive. I'm going to have to start spending those Avios."
Boeing 787 / A320,Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,January 2022,4.0,4.0,4.0,4.0,4.0,4,yes,,"✅ Trip Verified |  I was pleasantly surprised that the airline could maintain a steady schedule with little delay considering the time of the year and the weather. The flight from Montreal was my return flight to Scotland, but I originally booked to fly to and from Toronto, but the airline helped me cancel and I rebooked for a cheaper flight. The inflight service was pretty decent andthey do offer a blanket and pillow. As well they walk through the cabin offering drinks and handing out a small snack prior to the leading meal service. While the food was typical air plane food. I thoroughly enjoyed my flight and had no issues at all with my flights."
,Solo Leisure,Economy Class,Miami to Budapest via London,November 2022,2.0,3.0,3.0,4.0,1.0,1,no,,"✅ Trip Verified |  British Airways is late, their website is atrocious, and they wouldn't let me check-in until 24 hours before the flight. I have been trying for 6 hours to check in through their website, and/or find a real person to speak with. Customer service had such a thick accent I didn't think they were speaking English. "
,Solo Leisure,Premium Economy,Amman Jordan to London UK (Heathrow),November 2022,3.0,2.0,1.0,,4.0,2,no,,✅ Trip Verified | Flew from Amman to London on Nov. 14 2022. Not sure what type of aircraft it was. My Ticket was economy plus. The flight is 5h35m. We received exactly 250ml of water and about 10 potato chips. The seats did not recline and there was no entertainment system. Any other food or drink had to be purchased. So we couldn't even get a warm cup of coffee or teas. It is the third time I have flown with BA recently and was unhappy each time but did not write a review. Will honestly never fly them again if I can help it.
,Solo Leisure,Economy Class,Dusseldorf to London via Los Angeles,August 2022,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"✅ Trip Verified | This is the worst experience I have ever had with any airline. I flew with British Airline on August 21st 2022. I had one checked bag that was lost at Heathrow Airport. I am aware that at that time there was a system error with the baggage belt and many travelers were affected. I filed a report for my missing bag on the same day I arrived at LAX airport, and that was on August 21st. I waited patiently for three weeks (which is the time frame to either find the bag or be eligible for a compensation). When I did not receive any update on my lost bag, I filed a claim for compensation, and that was on September 11th. Since then, I have been waiting for a response from the customer relation with no good signs of resolving the issue. I emailed them and tried to update the claim but still no response until today. I contacted the baggage team and they were not helpful and did not ease my prolonged waiting. The only way to contact customer relations is via the website and they're not even getting back to me. Every time I talk to a customer service agent, they tell me to wait some more. I have been waiting for almost three months now and my issue is not resolved yet. This whole experience was a hassle. Very unprofessional for a renowned airline like BA."
Boeing 777,Solo Leisure,Business Class,London to Cape Town,November 2022,4.0,2.0,1.0,4.0,1.0,1,no,,"✅ Trip Verified |  Flying LHR T5 to CPT November 2022:  BA app and website not working properly - would not load my ticket. LHR T5 smooth and calm. Checking process quick. - But boarding card would not scan at security, they gave me one for someone else to a different destination.  Ran back to checkin to get correct one. Bags also tagged incorrectly and had disappeared.  Someone ran off to find my bags in the depths of T5 and retag them (amazingly they did show up in Cape Town).  Told only main lounge was open not B and C pier lounges. Turns out this was false information ... B Pier lounge was open. But I was in main lounge which was overcrowded and worn out. -Arrived late to the gate (train not working). There was a Biz class lane (quick) but then a giant queue to get on the plane as they only had one airbridge, not two. Seat comfy and cabin clean but the sinks were taped up as the waste was not working. I was offered hand sanitiser instead but this is disgusting (imagine going to the bathroom and not being able to wash your hands as there is no sink). Unbelievable that BA dispatches planes in this condition. Food average. Wine served way too late (choice of wine with cold food, or eat food first and matching wines come a quarter of an hour later). Overall experience 2/10. Flew Air France (Fortalaza to CDG to LHR) two weeks earlier which was way better. How embarrassing for BA."
,Solo Leisure,Economy Class,Milan to Dallas via London ,November 2022,2.0,5.0,2.0,2.0,2.0,1,no,2.0,"Not Verified | Worst experience ever. Outbound flight was cancelled and I was not notified. I was rebooked on a very uncomfortable trip. Inbound flight delayed 1 hour, also not notified. On top of it, they boarded my hand luggage, which was the only bag I had. Extra wait in Milan then. Food is horrible."
Boeing 787-8,Solo Leisure,Economy Class,Baltimore to London Heathrow,November 2022,1.0,3.0,3.0,1.0,2.0,3,yes,,"✅ Trip Verified |  Check in was a shambles at BWI, just 3 counters open for a very full flight. The bag drop queue was even longer than the regular check-in queue! Boarding was done by zones so that was carried out reasonably well. Once on board, the FAs were fine, not as engaging on my outbound flight to IAD. The aircraft was cramped and the seats in economy were horrible. I was seated in an aisle seat (row F) where there is an entertainment box taking up a third of your legroom. Overall, very cramped seat, poor legroom and awful IFE screens. The meal was mediocre and there was no bar service before the meal this time. On lading, we were served a hot sandwich which had oozing cheese all over the wrapper so it was not pleasant to handle but tasted very good! The plane landed at a remote stand which meant that we had to be bussed to T5 and since it was raining, it was not a nice experience. Overall, I rate this just as a mediocre journey."
,Couple Leisure,Business Class,Dubai to Belfast via London,October 2022,3.0,3.0,3.0,2.0,1.0,1,no,2.0,✅ Trip Verified | Beyond disgusted with the fact that my baggage has yet to be delivered to me after 5 weeks of emails and calls to BA. Two pieces reported 29th September. BA responses are generic non specific and all attempts to speak to a customer service worker are obstructed. All this from an airline touting its values and claiming yo be one of the best in the world. Disgraceful does not fully describe their customer service.
,Couple Leisure,Economy Class,Dallas to Bologna via London,July 2022,5.0,5.0,,,1.0,1,no,,"✅ Trip Verified | On July 19th 2022 I had submitted a complaint form with regards to the fact that BA had misplaced our luggage during our wedding trip to Italy and we've lost 2 days and incurred additional expenses in retrieving them, for which I had provided all copy of receipts for. I requested for my expenses to be reimbursed, they agreed, I sent all requested information and was told in 2 weeks I will be receiving it. It's 4 months later and British Airways has not processed my reimbursements and stopped answering my follow-ups on the matter."
,Solo Leisure,Economy Class,San Francisco to London,October 2022,,,,,1.0,1,no,,"✅ Trip Verified |  I booked the flight on Oct 8, but have to cancel the flight on the same day after learning that I can't get my entry visa in time for the flight. And I did receive a confirmation email says my flight was canceled. But in the cancellation email, the booking reference number is a different one. So I requested cancellation, but BA canceled another person's flight and sent the confirmation to my email? I assumed that my flight was canceled, but after more than 3 weeks, I still have not received any refund, so I reached out, and it turned out my flight is still on?! And it is getting even more ridiculous when you try to reach out to BA. I tried multiple different ways, phone calls, and emails, but none was able to investigate what actually happened nor has the authority help cancel my flight without paying penalty. Based on my experience, no ones reads your email carefully, no matter how much context you put in. Given all I have experienced, I have zero faith in British Airways."
A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2022,2.0,1.0,1.0,,3.0,3,no,,✅ Trip Verified |  London to Gibraltar on 25th October 2022. I booked my flight several months ahead of travel and was rather disappointed by the experience.  BA attempt to nickle and dime the customers with outrageous seat selection prices. Offering of a very small bottle of water and a nutribar as a breakfast and one gains the impression of where BA aim to be positioned at of late. The A320 has was no inflight entertainment or a route map. The staff disappeared for most of the flight. The flight was punctual but I felt cheated and under whelmed by the experience. 
Boeing 777,Solo Leisure,Business Class,London Heathrow to Nairobi,October 2022,3.0,1.0,1.0,2.0,1.0,1,no,1.0,"Not Verified |  I’ve generally been a loyal Gold status flyer with BA if they fly the route I’m after but my recent flight to Nairobi was about as abysmal as you can get. We should have departed at 10:20 but after continuous delays finally left 4.5 hours late, not ideal when you’ve then got an 8hr + flight. Staff informed us virtually as we took off that the meal and drinks service would be started and completed asap as they needed to get rest because of hours we had been delayed. They couldn’t get it out and away quickly enough. That was then basically the last you saw of them until they came around an hour or so before landing. I sincerely hope they enjoyed their rest because when you pay full fare for business class service you actually expect a service. They were all extremely miserable and clearly didn’t want to be on board. We’re still waiting for you to pay our compensation that has been awarded to us by the official ombudsman in July for the cancellation of our flight to Miami in March. This was cancelled at 3am for the 2:30 pm flight !"
